Vendor,Region,Name,Group,Tier,StartingRange,EndingRange,Unit,PricePerUnit
azure,australiacentral,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,ukwest,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.188
azure,uaenorth,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.214
azure,southeastasia,Block Blob,get request,Premium,0.0,inf,requests,1.82e-07
azure,westus3,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,uaecentral,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.013
azure,centralindia,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,norwayeast,Blob Storage,get request,Cool,0.0,inf,requests,1.0999999999999998e-06
azure,japaneast,Block Blob,put request,Premium,0.0,inf,requests,2.54e-06
azure,ukwest,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0028
azure,southcentralus,Block Blob,put request,Premium,0.0,inf,requests,2.1000000000000002e-06
azure,westus,Block Blob,put request,Premium,0.0,inf,requests,2.28e-06
azure,francecentral,Block Blob v2,put request,Premium,0.0,inf,requests,2.8500000000000002e-06
azure,australiacentral,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,francesouth,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.244
azure,switzerlandnorth,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.011
azure,eastasia,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,westus,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.195
azure,attdallas1,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.01
azure,koreasouth,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,swedensouth,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.00325
azure,australiasoutheast,Block Blob v2,get request,Premium,0.0,inf,requests,2.64e-07
azure,eastus,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,westindia,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,francesouth,Block Blob,get request,Premium,0.0,inf,requests,2.28e-07
azure,brazilsouth,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.3
azure,australiaeast,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.011
azure,attatlanta1,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,canadaeast,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0192
azure,canadaeast,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0184
azure,canadaeast,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02
azure,francesouth,Block Blob v2,get request,Premium,0.0,inf,requests,2.96e-07
azure,switzerlandwest,Block Blob,put request,Premium,0.0,inf,requests,3.41e-06
azure,uaenorth,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.012
azure,westeurope,Block Blob,put request,Premium,0.0,inf,requests,2.28e-06
azure,centralindia,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,westus3,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,brazilsouth,Block Blob v2,get request,Premium,0.0,inf,requests,3.64e-07
azure,canadacentral,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,centralus,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,koreacentral,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,northcentralus,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,australiaeast,Block Blob v2,put request,Premium,0.0,inf,requests,3.3e-06
azure,brazilsoutheast,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.04069
azure,brazilsoutheast,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.03899
azure,brazilsoutheast,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.04238
azure,australiaeast,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,centralus,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,attatlanta1,Block Blob,put request,Premium,0.0,inf,requests,1.7500000000000002e-06
azure,koreacentral,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.203
azure,westeurope,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.01
azure,norwayeast,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.215
azure,centralindia,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.011
azure,westus,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.0115
azure,japanwest,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.233
azure,westindia,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,northcentralus,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.18
azure,westus,Blob Storage,get request,Hot,0.0,inf,requests,4.4e-07
azure,jioindiacentral,Blob Storage,get request,Hot,0.0,inf,requests,4.4e-07
azure,usgovarizona,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,switzerlandnorth,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.225
azure,westeurope,Block Blob v2,get request,Premium,0.0,inf,requests,2.3700000000000002e-07
azure,southcentralus,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,koreasouth,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.203
azure,germanywestcentral,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,francecentral,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.0105
azure,eastasia,Block Blob,get request,Premium,0.0,inf,requests,2.17e-07
azure,norwaywest,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.00358
azure,japanwest,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,japaneast,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,westus,Block Blob v2,get request,Premium,0.0,inf,requests,2.3700000000000002e-07
azure,uaecentral,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.013
azure,northeurope,Block Blob v2,get request,Premium,0.0,inf,requests,2.1800000000000002e-07
azure,northcentralus,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,francesouth,Blob Storage,get request,Hot,0.0,inf,requests,6.11e-07
azure,southafricanorth,Block Blob v2,get request,Premium,0.0,inf,requests,2.66e-07
azure,japanwest,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,germanynorth,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,swedensouth,Blob Storage,put request,Cool,0.0,inf,requests,1.3000000000000001e-05
azure,uaenorth,Block Blob,put request,Premium,0.0,inf,requests,2.5e-06
azure,southindia,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,usgovarizona,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.188
azure,switzerlandnorth,Block Blob v2,put request,Premium,0.0,inf,requests,3.4200000000000003e-06
azure,canadaeast,Block Blob,get request,Premium,0.0,inf,requests,1.68e-07
azure,usgovvirginia,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.188
azure,japanwest,Block Blob,get request,Premium,0.0,inf,requests,2.17e-07
azure,southcentralus,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,usgovarizona,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0296
azure,usgovarizona,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.02856
azure,usgovarizona,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.02753
azure,germanywestcentral,Blob Storage,get request,Hot,0.0,inf,requests,4.3e-07
azure,northcentralus,Block Blob,get request,Premium,0.0,inf,requests,1.68e-07
azure,koreacentral,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,attdallas1,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,eastasia,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,swedencentral,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,canadaeast,Block Blob v2,put request,Premium,0.0,inf,requests,2.73e-06
azure,australiacentral2,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.218
azure,germanywestcentral,Block Blob,put request,Premium,0.0,inf,requests,2.28e-06
azure,qatarcentral,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,usgovarizona,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,northeurope,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,norwayeast,Blob Storage,put request,Hot,0.0,inf,requests,5.94e-06
azure,francecentral,Block Blob v2,get request,Premium,0.0,inf,requests,2.28e-07
azure,swedencentral,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.195
azure,northeurope,Block Blob,put request,Premium,0.0,inf,requests,2.1000000000000002e-06
azure,uaecentral,Blob Storage,put request,Cool,0.0,inf,requests,1.3000000000000001e-05
azure,australiaeast,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.218
azure,attatlanta1,Block Blob,get request,Premium,0.0,inf,requests,1.4e-07
azure,uaecentral,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.279
azure,germanynorth,Block Blob,get request,Premium,0.0,inf,requests,2.3700000000000002e-07
azure,germanywestcentral,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,westus3,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,northeurope,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,northcentralus,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
